,0_names,0_scores,0_pvals,0_pvals_adj,0_logfoldchanges,1_names,1_scores,1_pvals,1_pvals_adj,1_logfoldchanges,2_names,2_scores,2_pvals,2_pvals_adj,2_logfoldchanges,3_names,3_scores,3_pvals,3_pvals_adj,3_logfoldchanges
33,NCDN,1.5823975,0.11355887526073288,0.6851663512583568,1.3216741,WDR36,4.485422,7.27696638318103e-06,0.0023245864835161625,1.6641738,SEMA4B,3.2548323,0.00113459352430578,0.2902417286003764,3.76732,MTRNR2L1,3.2815444,0.0010324025875852584,0.3208818853305533,1.6519184
34,C22orf9,1.5786027,0.1144272164567098,0.6870253428290741,1.7373993,FAM18B1,4.461089,8.154418279436263e-06,0.002534481357122082,2.6945891,FAM149A,3.2404304,0.0011934942187691972,0.2902417286003764,4.1293173,RBM39,3.2815444,0.0010324025875852584,0.3208818853305533,1.5133257
35,POM121L1P,1.5672185,0.11706361842092845,0.6903751855593216,0.65469897,VPS13C,4.4124227,1.0222031682781803e-05,0.0028587687854819263,0.96064603,XDH,3.2332294,0.0012239923195190166,0.2902417286003764,3.4254594,HLA-E,3.2709246,0.0010719650852034739,0.3240559641803451,2.8672743
36,TRPM7,1.5558344,0.11974747923420015,0.6947954048838888,0.24409851,ITPR2,4.4124227,1.0222031682781803e-05,0.0028587687854819263,1.5491589,ABCA3,3.2332294,0.0012239923195190166,0.2902417286003764,3.2240505,RPS24,3.2496848,0.0011553299592516652,0.3240559641803451,2.5435824
37,DDX55,1.5520396,0.12065273248288051,0.6947954048838888,1.5130059,PPAT,4.4043117,1.061203269409592e-05,0.0028587687854819263,2.258323,PNPLA7,3.2332294,0.0012239923195190166,0.2902417286003764,4.0599537,KLF6,3.2496848,0.0011553299592516652,0.3240559641803451,1.9063857
38,GGT3P,1.5520396,0.12065273248288051,0.6947954048838888,1.0489714,FAM92A3,4.4043117,1.061203269409592e-05,0.0028587687854819263,2.4332573,ROCK1P1,3.2332294,0.0012239923195190166,0.2902417286003764,0.4089237,B2M,3.1859655,0.0014427181824476852,0.38584323484066,4.313615
39,LAMP3,1.5368608,0.12432740181834573,0.6964272386317466,1.3209969,ZNF546,4.400256,1.0812322059569391e-05,0.0028587687854819263,2.381274,AMAC1L3,3.2260284,0.0012552088149358864,0.2902417286003764,4.4756823,ENO1,3.154106,0.0016099070451872657,0.4011412183792956,2.7014582
40,RIMS2,1.533066,0.1252595748630697,0.6977248301610194,0.6754685,ZFC3H1,4.3962007,1.101621774528817e-05,0.0028587687854819263,1.6761559,GGA2,3.2188275,0.0012871589703147125,0.2902417286003764,3.291184,FLJ31306,3.1487958,0.0016394467185936428,0.4011412183792956,2.698039
41,RAB17,1.5292714,0.12619718667260177,0.6977248301610194,2.1054027,HERC4,4.3962007,1.101621774528817e-05,0.0028587687854819263,1.6990359,CHST15,3.2188275,0.0012871589703147125,0.2902417286003764,2.9636054,UBC,3.1328661,0.0017310842939018383,0.4127966555053572,3.993816
42,REL,1.5216819,0.1280887991433941,0.7017728395183573,0.9645,WRN,4.392145,1.122378127113558e-05,0.0028587687854819263,1.2952132,ATP13A1,3.2188275,0.0012871589703147125,0.2902417286003764,3.867107,NCL,3.1010063,0.001928641316591717,0.42652644501547593,2.1056764
43,TRAPPC9,1.4989136,0.13389604377255782,0.7051347667803872,0.79010797,LOC440970,4.3880897,1.1435075141927706e-05,0.0028587687854819263,1.9524204,RASSF2,3.2188275,0.0012871589703147125,0.2902417286003764,3.265503,SON,3.0850766,0.0020349976418237823,0.4411801629056829,1.6567943
44,LOC100130581,1.4989136,0.13389604377255782,0.7051347667803872,1.1771086,MDM2,4.3515897,1.3515405465436934e-05,0.003238065892760932,1.5273505,FAM13A,3.2188275,0.0012871589703147125,0.2902417286003764,2.9313307,MTRNR2L10,3.0585268,0.0022242814902079192,0.46507703886165586,2.1469035
45,SDAD1,1.4913242,0.1358764037552468,0.7051347667803872,0.4020945,CREB5,4.3515897,1.3515405465436934e-05,0.003238065892760932,1.9326595,ADCY5,3.2188275,0.0012871589703147125,0.2902417286003764,3.3169825,ZFP36L1,3.037287,0.002387179887232062,0.4902244411280127,2.042056
46,FANCD2,1.4647611,0.1429860939054406,0.7164880522494845,0.63804877,NAP1L1,4.3434787,1.4024417614783278e-05,0.0032857179096920036,1.5386548,LOC121456,3.2188275,0.0012871589703147125,0.2902417286003764,4.3502927,SRRM2,3.0160472,0.0025609330224112803,0.5166794694338548,1.9468106
47,PKD1P1,1.4495823,0.14717504006490556,0.7220343701954582,1.2039468,MLL3,4.339423,1.4285730042139147e-05,0.0032857179096920036,0.6717831,THOC3,3.2044256,0.0013533227352660775,0.2936454991615074,4.311368,RPS19,2.9841876,0.002843323357788654,0.5637623899063711,3.5033302
48,EGFR,1.4419929,0.1493043920671124,0.7232727874335122,0.9081924,MLL5,4.311034,1.624927197133578e-05,0.003525426368766295,1.472417,CELSR3,3.2044256,0.0013533227352660775,0.2936454991615074,3.1862845,RPS3,2.9788778,0.0028930621734931244,0.5639019490706938,2.6946476
49,ADAMTS16,1.4419929,0.1493043920671124,0.7232727874335122,0.85658586,TRAPPC6B,4.311034,1.624927197133578e-05,0.003525426368766295,2.696342,TSPAN18,3.1900237,0.0014226114478679986,0.29425249573145007,3.907583,GSN,2.957638,0.003100060111995496,0.5757077506822113,2.559853
50,CLDN11,1.4381981,0.15037784650030675,0.7232727874335122,0.22699502,ARID2,4.3069787,1.6549951643547558e-05,0.003525426368766295,2.0772133,FAT1,3.1900237,0.0014226114478679986,0.29425249573145007,2.26366,RPL11,2.952328,0.0031538772428677656,0.5757077506822113,3.3073866
